Property Code,Display Name,RVP/SVP,Region
PDR,Safe Harbor Puerto Del Rey,Orlando Alvarez Diaz,International South
PHX,Safe Harbor Port Phoenix,Jaret Rogers,Florida West
PLM,Safe Harbor Pineland,Jaret Rogers,Florida West
PLY,Safe Harbor Plymouth,Tyler Miller,Massachusetts
PMM,Safe Harbor Port Milford,Matt Marshall,New York + Coastal Connecticut
PPM,Safe Harbor Pilots Point,Josh Twidwell,Pilots Point + Mystic
PRM,Safe Harbor Port Royal Landing,David Rogers,Coastal Carolinas
PST,Safe Harbor Post Road,Matt Marshall,New York + Coastal Connecticut
PTR,Safe Harbor Port Royal,David Rogers,Coastal Carolinas
PYC,Safe Harbor Peninsula Yacht Club,Michael Duling,South
RBY,Safe Harbor Rybovich,Bruce McFarlane,International North
RHM,Safe Harbor Reserve Harbor,David Rogers,Coastal Carolinas
ROC,Safe Harbor Rockland,Greg Glavin,Maine + New Hampshire
RPM,Safe Harbor Regatta Pointe,Jaret Rogers,Florida West
RSBC,Safe Harbor West Palm,Bruce McFarlane,International North
SAK,Safe Harbor Sakonnet,Jason Durante,Rhode Island
SAU,Safe Harbor Sausalito,Garrett McKinney,West Coast North
SBAY,Safe Harbor South Bay,Josh Hester,West Coast South
SBM,Safe Harbor Sunset Bay,Tyler Miller,Massachusetts
SCM,Safe Harbor Skull Creek,David Rogers,Coastal Carolinas
SFB,Safe Harbor San Francisco Bay,Garrett McKinney,West Coast North
SHM,Safe Harbor Sandusky,Semo Post,Great Lakes + Lake Champlain
SHV,Safe Harbor South Harbour Village,David Rogers,Coastal Carolinas
SIBY,Safe Harbor Shelter Island,Josh Hester,West Coast South
SJM,Safe Harbor San Juan,Orlando Alvarez Diaz,International South
SKL,Safe Harbor Skipper's Landing,Michael Duling,South
SKM,Safe Harbor Siesta Key,Jaret Rogers,Florida West
SPM,Safe Harbor Sportsman,Michael Duling,South
SRD,Safe Harbor Sunroad,Josh Hester,West Coast South
SRP,Safe Harbor Stingray Point,Desiree Bell,Mid-Atlantic West
SSM,Safe Harbor Silver Spring,Jason Durante,Rhode Island
SSY,Safe Harbor Shelburne Shipyard,Semo Post,Great Lakes + Lake Champlain
STH,Safe Harbor Stirling,Sean Gilligan,New York + Connecticut River
STR,Safe Harbor Stratford,Matt Marshall,New York + Coastal Connecticut
SYC,Safe Harbor Savannah Yacht Center,Bruce McFarlane,International North
TBM,Safe Harbor Toledo Beach,Semo Post,Great Lakes + Lake Champlain
TWM,Safe Harbor Trade Winds,Michael Duling,South
TWR,Safe Harbor Tower Marine,Semo Post,Great Lakes + Lake Champlain
VHM,Safe Harbor Vineyard Haven,Tyler Miller,Massachusetts
VIM,Safe Harbor Ventura Isle,Josh Hester,West Coast South
WAL,Safe Harbor Walden,Sean McNamara,Southwest
WBM,Safe Harbor Willsboro Bay,Semo Post,Great Lakes + Lake Champlain
WDM,Safe Harbor Wisdom Dock,Layne Wilson,Kentucky + Tennessee
WEN,Safe Harbor Wentworth By The Sea,Greg Glavin,Maine + New Hampshire
WIC,Safe Harbor Wickford Cove,Jason Durante,Rhode Island
WPM,Safe Harbor Westport,Michael Duling,South
YHM,Safe Harbor Yacht Haven,Matt Marshall,New York + Coastal Connecticut
ZAN,Safe Harbor Zahnisers,Megan Rausch,Mid-Atlantic East
